Project Name,Datasource Name,Database Name,Table Schema,Table Name,Database Connection Type,USER_NAME,AUTHENTICATION_METHOD
Amazon QBR Datasources,Amazon QBR - Member Savings Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Savings Dataset,TRANSFORMED_LAYER,AMAZON,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA_AND_CUSTOM_FILTERS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Savings Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Monthly Customer Communications Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Monthly Customer Communications Dataset,TRANSFORMED_LAYER,AMAZON,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Monthly Customer Communications Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Monthly Customer Communications Dataset,TRANSFORMED_LAYER,AMAZON,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - PMPM Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_PMPM_SPEND,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - PMPM Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - PMPM Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_PMPM_SPEND,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - PMPM Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Pharmacy Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Pharmacy Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Pharmacy Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Pharmacy Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Pharmacy Spend Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown Dataset,TRANSFORMED_LAYER,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown Dataset,TRANSFORMED_LAYER,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,QBR - Amazon - Primary Data Source - Data Availability  - Parameters For Custom Fields,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Number Of Members By Number Of Opportunities Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Number Of Members By Number Of Opportunities Dataset,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Datasources,Amazon QBR - Member Utilization Breakdown,TRANSFORMED_LAYER,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,snowflake,SCRIPTAETL,PASSWORD
In Progress Visualizations,Member Savings Extract For Testing Only,TRANSFORMED_LAYER,AMAZON,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA_AND_CUSTOM_FILTERS,snowflake,SCRIPTAETL,PASSWORD
In Progress Visualizations,Member Savings Extract For Testing Only,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Claims and Spend Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Claims and Spend Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_CLAIMS_AND_SPENDS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Member Communication Metadata Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_MEMBER_COMMUNICATION_OPTIONS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Member Communication Metadata Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Member Utilization Breakdown Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Member Utilization Breakdown Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Pharmacy Spend Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,snowflake,SCRIPTAETL,PASSWORD
Amazon QBR Data Sources with Location,Amazon QBR - Pharmacy Spend Dataset with Location,TRANSFORMED_LAYER,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
Datasources,Pricing Analysis Datasource,STAGING_LAYER,TEMP,PRICING_ANALYSIS_TEST,snowflake,SCRIPTAETL,PASSWORD
In Progress Visualizations,Member Opportunities for 6 quarters and best saver joined to customer data availability,STAGING_LAYER,TEMP,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS_TEST_ONLY,snowflake,SCRIPTAETL,PASSWORD
Drill Down Datasources,Member Savings Report For HCBB Customers Datasource,TRANSFORMED_LAYER,DRILL_DOWN_REPORTS,MEMBER_SAVINGS_REPORT_WITH_MIN_MAX_DATES_FOR_HCBB,snowflake,SCRIPTAETL,PASSWORD
