Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
QBR - Number Of Members By Number Of Opportunities,1c46eeab-123e-de3c-9a47-5a5818fa89e4,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Number Of Members By Number Of Opportunities,1c46eeab-123e-de3c-9a47-5a5818fa89e4,VISUALIZATION,VW_NUMBER_OF_MEMBERS_AND_CLAIMS_BY_MONTH,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset - Test,1c79c169-ce54-5b3d-6144-00657e90ae5d,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Savings Dataset - Test,1c79c169-ce54-5b3d-6144-00657e90ae5d,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,1df1543c-d8ad-e342-6c23-e9dd8697c987,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,1df1543c-d8ad-e342-6c23-e9dd8697c987,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER,snowflake
QBR - CLAIMS AND SPEND DATA SET,1df24dc3-c5bd-a845-e222-f1c250d59ce8,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - CLAIMS AND SPEND DATA SET,1df24dc3-c5bd-a845-e222-f1c250d59ce8,VISUALIZATION,VW_CLAIMS_AND_SPENDS,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data - KPA,1e0644b0-a79b-af51-d107-5363ac084774,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset - Test,1eb34727-788a-6232-6047-058de8c86ee4,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Savings Dataset - Test,1eb34727-788a-6232-6047-058de8c86ee4,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
Member-Utilization-Breakdown-Unaggregated-Data-Source,1f7fe9c0-4547-8932-5b73-062adc668c21,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Utilization Ratios Datasource,1f8db6c2-235e-81ab-956b-f25bac369aed,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Utilization Ratios Datasource,1f8db6c2-235e-81ab-956b-f25bac369aed,VISUALIZATION,VW_CUSTOMER_UTILIZER_RATIOS,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset - KPA,2010e0f0-7a74-8b54-d365-91e5f17b9726,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset - KPA,2010e0f0-7a74-8b54-d365-91e5f17b9726,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA (TRANSFORMED_LAYER.VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA) (VISUALIZATION),213b53ac-f993-d3a1-23d4-68233cb70382,VISUALIZATION,VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,21a6c9a2-6e7e-4a42-c248-d19964190d89,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
